asignatura,año,tipo,ccaa,link,operativo
Alemán,2015,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2015_aleman.zip,si
Alemán,2016,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2016_aleman.zip,si
Alemán,2017,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2017_aleman.zip,si
Alemán,2018,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2018_aleman.zip,si
Alemán,2019,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2019_aleman.zip,si
Alemán,2020,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2020_aleman.zip,si
Alemán,2021,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2021_aleman.zip,si
Alemán,2022,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2022_aleman.zip,si
Alemán,2023,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2023_aleman.zip,si
Alemán,2024,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2024_aleman.zip,si
Alemán,2025,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2025_aleman.zip,si
Biología,2015,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2015_biologia.zip,si
Biología,2016,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2016_biologia.zip,si
Biología,2017,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2017_biologia.zip,si
Biología,2018,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2018_biologia.zip,si
Biología,2019,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2019_biologia.zip,si
Biología,2020,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2020_biologia.zip,si
Biología,2021,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2021_biologia.zip,si
Biología,2022,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2022_biologia.zip,si
Biología,2023,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2023_biologia.zip,si
Biología,2024,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2024_biologia.zip,si
Biología,2025,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2025_biologia.zip,si
Ciencias Generales,2024,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2024_ciencias_generales.zip,si
Ciencias Generales,2025,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2025_ciencias_generales.zip,si
Ciencias de la Tierra,2015,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2015_ciencias_tierra.zip,si
Ciencias de la Tierra,2016,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2016_ciencias_tierra.zip,si
Ciencias de la Tierra,2017,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2017_ciencias_tierra.zip,si
Ciencias de la Tierra,2018,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2018_ciencias_tierra.zip,si
Coro y Técnica Vocal II,2024,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2024_coro_tecnica.zip,si
Coro y Técnica Vocal II,2025,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2025_coro_tecnica.zip,si
Dibujo Artístico II,2015,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2015_dibujo_artistico.zip,si
Dibujo Artístico II,2016,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2016_dibujo_artistico.zip,si
Dibujo Artístico II,2017,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2017_dibujo_artistico.zip,si
Dibujo Artístico II,2018,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2018_dibujo_artistico.zip,si
Dibujo Artístico II,2024,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2024_dibujo_artistico.zip,si
Dibujo Artístico II,2025,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2025_dibujo_artistico.zip,si
Dibujo Técnico II,2015,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2015_dibujo_tecnico.zip,si
Dibujo Técnico II,2016,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2016_dibujo_tecnico.zip,si
Dibujo Técnico II,2017,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2017_dibujo_tecnico.zip,si
Dibujo Técnico II,2018,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2018_dibujo_tecnico.zip,si
Dibujo Técnico II,2019,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2019_dibujo_tecnico.zip,si
Dibujo Técnico II,2020,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2020_dibujo_tecnico.zip,si
