carrera,titulacion,universidad,provincia,modalidad,nota_corte,tipo_centro,duracion,precio_primer_curso,nota_corte_num
Medicina,Grado en Medicina,Universidad de Sevilla,Sevilla,Presencial,"13,450",Universidad Pública,"6,0 años",757 €,13.45
Medicina,Grado en Medicina,Universidad de Granada,Granada,Presencial,"13,416",Universidad Pública,"6,0 años",757 €,13.416
Medicina,Grado en Medicina,Universidad de Málaga,Málaga,Presencial,"13,353",Universidad Pública,"6,0 años",757 €,13.353
Medicina,Grado en Medicina,Universidad de Córdoba,Córdoba,Presencial,"13,353",Universidad Pública,"6,0 años",757 €,13.353
Medicina,Grado en Medicina,Universidad de Cádiz,Cádiz,Presencial,"13,291",Universidad Pública,"6,0 años",757 €,13.291
Medicina,Grado en Medicina,Universidad de Almería,Almería,Presencial,"13,280",Universidad Pública,"6,0 años",757 €,13.28
Medicina,Grado en Medicina,Universidad de Alicante,Alicante,Presencial,"13,278",Universidad Pública,"6,0 años",1.080 €,13.278
Medicina,Grado en Medicina,Universidad de Jaén,Jaén,Presencial,"13,270",Universidad Pública,"6,0 años",757 €,13.27
Medicina,Grado en Medicina,Universidad Complutense de Madrid,Madrid,Presencial,"13,265",Universidad Pública,"6,0 años",1.241 €,13.265
Medicina,Grado en Medicina,Universidad Miguel Hernández de Elche,Alicante,Presencial,"13,264",Universidad Pública,"6,0 años",1.080 €,13.264
Medicina,Grado en Medicina,Universidad de Huelva,Huelva,Presencial,"13,244",Universidad Pública,"6,0 años",757 €,13.244
Medicina,Grado en Medicina,Universidad de Murcia,Murcia,Presencial,"13,227",Universidad Pública,"6,0 años",1.007 €,13.227
Medicina,Grado en Medicina,Universitat Jaume I,Castellón,Presencial,"13,178",Universidad Pública,"6,0 años",1.080 €,13.178
Medicina,Grado en Medicina,Universidad Autónoma de Madrid,Madrid,Presencial,"13,148",Universidad Pública,"6,0 años",1.241 €,13.148
Medicina,Grado en Medicina,Universidad de Castilla - La Mancha,Ciudad Real,Presencial,"13,110",Universidad Pública,"6,0 años",1.132 €,13.11
Medicina,Grado en Medicina,Universidad de Alcalá,Madrid,Presencial,"13,102",Universidad Pública,"6,0 años",1.241 €,13.102
Medicina,Grado en Medicina,Universidad Rey Juan Carlos,Madrid,Presencial,"13,082",Universidad Pública,"6,0 años",1.241 €,13.082
Medicina,Grado en Medicina,Universidad de Cantabria,Cantabria,Presencial,"13,066",Universidad Pública,"6,0 años",934 €,13.066
Medicina,Grado en Medicina,Universidad de Salamanca,Salamanca,Presencial,"13,025",Universidad Pública,"6,0 años",1.107 €,13.025
Medicina,Grado en Medicina,Universidad de Castilla - La Mancha,Albacete,Presencial,"12,978",Universidad Pública,"6,0 años",1.132 €,12.978
Medicina,Grado en Medicina,Universidad de Extremadura,Badajoz,Presencial,"12,961",Universidad Pública,"6,0 años",1.064 €,12.961
Medicina,Grado en Medicina,Universitat de València,Valencia,Presencial,"12,953",Universidad Pública,"6,0 años",1.080 €,12.953
Medicina,Grado en Medicina,Universidad de Oviedo,Asturias,Presencial,"12,890",Universidad Pública,"6,0 años",942 €,12.89
Medicina,Grado en Medicina,Universidad de Valladolid,Valladolid,Presencial,"12,888",Universidad Pública,"6,0 años",1.107 €,12.888
Medicina,Grado en Medicina,Universidad Pública de Navarra,Navarra,Presencial,"12,842",Universidad Pública,"6,0 años",1.283 €,12.842
